x,y
0.31687668,0.39324152
0.31687668,0.39303722
0.31687668,0.39283293
0.31687668,0.39262863
0.31687668,0.39242434
0.31687668,0.39222004
0.31687668,0.39201575
0.31687668,0.39181146
0.31687668,0.39160716
0.31687668,0.39140287
0.31687668,0.39119857
0.31687668,0.39099428
0.31687668,0.39078998
0.31687668,0.39058569
0.31687668,0.39038140
0.31687668,0.39017710
0.31687668,0.38997281
0.31687668,0.38976851
0.31687668,0.38956422
0.31687668,0.38935992
0.31687668,0.38915563
0.31687668,0.38895134
0.31687668,0.38874704
0.31687668,0.38854275
0.31687668,0.38833845
0.31687668,0.38813416
0.31687668,0.38792986
0.31687668,0.38772557
0.31687668,0.38752127
0.31687668,0.38731698
0.31687668,0.38711269
0.31687668,0.38690839
0.31687668,0.38670410
0.31687668,0.38649980
0.31687668,0.38629551
0.31687668,0.38609121
0.31687668,0.38588692
0.31687668,0.38568263
0.31687668,0.38547833
0.31687668,0.38527404
0.31687668,0.38506974
0.31687668,0.38486545
0.31687668,0.38466115
0.31687668,0.38445686
0.31687668,0.38425256
0.31687668,0.38404827
0.31687668,0.38384398
0.31687668,0.38363968
0.31687668,0.38343539
0.31687668,0.38323109
0.31687668,0.38302680
0.31687668,0.38282250
0.31687668,0.38261821
0.31687668,0.38241392
0.31687668,0.38220962
0.31687668,0.38200533
0.31687668,0.38180103
0.31687668,0.38159674
0.31687668,0.38139244
0.31687668,0.38118815
0.31687668,0.38098386
0.31687668,0.38077956
0.31687668,0.38057527
0.31687668,0.38037097
0.31687668,0.38016668
0.31687668,0.37996238
0.31687668,0.37975809
0.31687668,0.37955379
0.31687668,0.37934950
0.31687668,0.37914521
0.31687668,0.37894091
0.31687668,0.37873662
0.31687668,0.37853232
0.31687668,0.37832803
0.31687668,0.37812373
0.31687668,0.37791944
0.31687668,0.37771515
0.31687668,0.37751085
0.31687668,0.37730656
0.31687668,0.37710226
0.31687668,0.37689797
0.31687668,0.37669367
0.31687668,0.37648938
0.31687668,0.37628508
0.31687668,0.37608079
0.31687668,0.37587650
0.31687668,0.37567220
0.31687668,0.37546791
0.31687668,0.37526361
0.31687668,0.37505932
0.31687668,0.37485502
0.31687668,0.37465073
0.31687668,0.37444644
0.31687668,0.37424214
0.31687668,0.37403785
0.31687668,0.37383355
0.31687668,0.37362926
0.31687668,0.37342496
0.31687668,0.37322067
0.31687668,0.37301638
0.31687668,0.37281208
0.31687668,0.37260779
0.31687668,0.37240349
0.31687668,0.37219920
0.31687668,0.37199490
0.31687668,0.37179061
0.31687668,0.37158631
0.31687668,0.37138202
0.31687668,0.37117773
0.31687668,0.37097343
0.31687668,0.37076914
0.31687668,0.37056484
0.31687668,0.37036055
0.31687668,0.37015625
0.31687668,0.36995196
0.31687668,0.36974767
0.31687668,0.36954337
0.31687668,0.36933908
0.31687668,0.36913478
0.31687668,0.36893049
0.31687668,0.36872619
0.31687668,0.36852190
0.31687668,0.36831760
0.31687668,0.36811331
0.31687668,0.36790902
0.31687668,0.36770472
0.31687668,0.36750043
0.31687668,0.36729613
0.31687668,0.36709184
0.31687668,0.36688754
0.31687668,0.36668325
0.31687668,0.36647896
0.31687668,0.36627466
0.31687668,0.36607037
0.31687668,0.36586607
0.31687668,0.36566178
0.31687668,0.36545748
0.31687668,0.36525319
0.31687668,0.36504890
0.31687668,0.36484460
0.31687668,0.36464031
0.31687668,0.36443601
0.31687668,0.36423172
0.31687668,0.36402742
0.31687668,0.36382313
0.31687668,0.36361883
0.31687668,0.36341454
0.31687668,0.36321025
0.31687668,0.36300595
0.31687668,0.36280166
0.31687668,0.36259736
0.31687668,0.36239307
0.31687668,0.36218877
0.31687668,0.36198448
0.31687668,0.36178019
0.31687668,0.36157589
0.31687668,0.36137160
0.31687668,0.36116730
0.31687668,0.36096301
0.31687668,0.36075871
0.31687668,0.36055442
0.31687668,0.36035012
0.31687668,0.36014583
0.31687668,0.35994154
0.31687668,0.35973724
0.31687668,0.35953295
0.31687668,0.35932865
0.31687668,0.35912436
0.31687668,0.35892006
0.31687668,0.35871577
0.31687668,0.35851148
0.31687668,0.35830718
0.31687668,0.35810289
0.31687668,0.35789859
0.31687668,0.35769430
0.31687668,0.35749000
0.31687668,0.35728571
0.31687668,0.35708142
0.31687668,0.35687712
0.31687668,0.35667283
0.31687668,0.35646853
0.31687668,0.35626424
0.31687668,0.35605994
0.31687668,0.35585565
0.31687668,0.35565135
0.31687668,0.35544706
0.31687668,0.35524277
0.31687668,0.35503847
0.31687668,0.35483418
0.31687668,0.35462988
0.31687668,0.35442559
0.31687668,0.35422129
0.31687668,0.35401700
0.31687668,0.35381271
0.31687668,0.35360841
0.31687668,0.35340412
0.31687668,0.35319982
0.31687668,0.35299553
0.31687668,0.35279123
0.31687668,0.35258694
0.31687668,0.35238264
0.31687668,0.35217835
0.31687668,0.35197406
